T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,Appliances,lights
20.0,43.76,18.92666667,43.36333333,19.79,44.4,20.2,43.49,17.5,50.9,4.933333333,85.06333333,18.245,39.45,18.66666667,46.83333333,17.03333333,42.82666667,5.2,744.8,87.0,6.666666667,40.0,3.2,16.43886595,16.43886595,70,20
20.03333333,44.0,19.0,43.29,19.79,44.4,20.2,43.09666667,17.5,51.0,4.933333333,86.45666667,18.2,39.26,18.7,47.02666667,17.0,42.7,5.1,744.85,88.0,6.5,40.0,3.25,22.65657227,22.65657227,40,10
20.1,44.26,19.2,43.29,19.89,44.4,20.1,42.845,17.5,51.0,5.0,87.66333333,18.2,39.12666667,18.76,46.9,17.0,42.76,5.0,744.9,89.0,6.333333333,40.0,3.3,25.02204863,25.02204863,40,0
20.1,44.2,19.245,43.245,19.89,44.32666667,19.96333333,42.59,17.5,51.09,4.9,88.63333333,18.1,39.09,18.7,46.7675,17.0,42.79,4.9,744.95,90.0,6.166666667,40.0,3.35,9.043318057,9.043318057,30,0
20.1,44.12666667,19.29,43.095,19.79,44.09,19.89,42.59,17.5,51.09,4.9,89.42666667,18.1,39.09,18.7,46.645,17.0,42.79,4.8,745.0,91.0,6.0,40.0,3.4,26.48153014,26.48153014,50,0
20.1,44.06,19.37,42.92,19.79,44.09,19.85666667,42.56,17.5,51.0,4.866666667,90.22666667,18.06666667,39.06,18.6,46.5,17.0,42.79,4.75,745.0333333,91.33333333,6.166666667,40.0,3.4,3.763787285,3.763787285,50,0
20.1,44.0,19.39,42.9,19.79,44.12666667,19.79,42.5,17.5,51.0,4.866666667,90.89333333,18.0,39.0,18.53333333,46.56,16.92666667,42.79,4.7,745.0666667,91.66666667,6.333333333,40.0,3.4,13.88779663,13.88779663,60,0
20.1,43.9,19.39,42.76,19.79,44.2,19.76,42.53,17.5,51.0,4.933333333,91.4,17.96333333,39.0,18.5,46.9,16.89,42.79,4.65,745.1,92.0,6.5,40.0,3.4,10.63497596,10.63497596,50,0
20.1,43.82666667,19.39,42.7,19.79,44.2,19.7,42.53,17.5,51.0,4.933333333,91.26,17.89,39.0,18.5,47.12666667,16.96333333,42.86333333,4.6,745.1333333,92.33333333,6.666666667,40.0,3.4,14.23952405,14.23952405,60,0
20.03333333,43.73,19.39,42.66333333,19.79,44.2,19.66666667,42.56,17.5,50.96666667,4.626666667,90.96333333,17.89,39.0,18.5,47.26,16.89,42.9,4.55,745.1666667000001,92.66666667,6.833333333,40.0,3.4,44.75470515,44.75470515,60,0
